city,commissions_total,commissions_active,commissions_expired
Tioga,49,41,8
Presidio,49,43,6
Brookeland,49,46,3
Point,49,43,6
Fort Hood,48,33,15
Seagraves,48,43,5
Hebbronville,48,38,10
Powderly,48,42,6
Queen City,48,41,7
Double Oak,47,42,5
Jonestown,47,43,4
Lott,47,41,6
De Kalb,47,40,7
Shady Shores,47,43,4
Marfa,47,40,7
Combine,47,42,5
Holliday,46,42,4
Ranger,46,40,6
Boling,46,44,2
Rogers,46,39,7
Red Rock,46,43,3
Wheeler,46,42,4
Prairie View,46,46,0
Elm Mott,46,42,4
Maud,46,42,4
Cresson,45,40,5
Stratford,45,42,3
Honey Grove,45,40,5
Uhland,45,39,6
Maypearl,45,37,8
Kingsbury,44,39,5
Santa Rosa,44,39,5
Hubbard,44,36,8
Woodsboro,44,35,9
Crawford,44,33,11
Electra,44,41,3
Dilley,43,36,7
Farwell,43,43,0
Campbell,43,39,4
Hamshire,43,39,4
Granger,43,38,5
Holland,43,39,4
Premont,43,38,5
Shavano Park,43,40,3
Sullivan City,43,39,4
Fort Davis,43,37,6
Shamrock,42,39,3
Joaquin,42,30,12
North Zulch,41,39,2
Mart,41,38,3
Runaway Bay,41,35,6
Eldorado,41,40,1
New Ulm,41,38,3
Lyford,41,36,5
Falls City,41,37,4
Garrison,41,34,7
Avinger,41,35,6
Laguna Vista,41,36,5
Beckville,41,32,9
Zavalla,40,37,3
Pattison,40,38,2
Bartlett,40,32,8
Beach City,40,34,6
Atascocita,40,33,7
Damon,40,36,4
Bluff Dale,39,33,6
El Lago,39,35,4
Hull,39,37,2
Fischer,39,35,4
Mico,39,31,8
Texas,39,39,0
Pointblank,39,33,6
Plains,39,34,5
Burton,38,35,3
Martindale,38,36,2
Buchanan Dam,38,32,6
Sunset,38,35,3
Stinnett,37,31,6
Rice,37,29,8
Nixon,37,31,6
Meadowlakes,37,35,2
Crystal Beach,36,31,5
Hamlin,36,33,3
Covington,36,33,3
Fayetteville,36,30,6
Bremond,36,36,0
Richards,36,32,4
Tenaha,35,31,4
Thornton,35,29,6
Colmesneil,35,30,5
Bogata,35,32,3
Van Horn,35,30,5
Trinidad,35,33,2
Tennessee Colony,35,33,2
Goodrich,35,27,8
Menard,35,28,7
Dfw Airport,35,29,6
Shelbyville,34,27,7
Hideaway,34,31,3
Marquez,34,27,7
Savoy,34,28,6
